Par,Origem ID,Origem,Destino ID,Destino,Distância reta (km),Modo recomendado,Tempo estimado (min),Tempo planejamento (min),Confiança,Observação
L12-L36,L12,MoMA,L36,SoHo — Prince & Broadway,4.50,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L37,L12,MoMA,L37,Pearl River Mart,4.77,Metrô/ônibus + caminhada,24,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L38,L12,MoMA,L38,Intrepid Museum,1.89,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L39,L12,MoMA,L39,Hudson River Greenway — Midtown,2.49,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L40,L12,MoMA,L40,Hudson Yards,2.30,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L41,L12,MoMA,L41,The Oculus,6.25,Metrô + caminhada,33,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L42,L12,MoMA,L42,9/11 Memorial & Museum,6.33,Metrô + caminhada,33,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L43,L12,MoMA,L43,Wall Street / NYSE,6.72,Metrô + caminhada,34,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L44,L12,MoMA,L44,Trinity Church,6.63,Metrô + caminhada,34,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L12-L45,L12,MoMA,L45,Bathhouse Flatiron,2.63,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L33,L13,Rockefeller Center,L33,Chrysler Building,0.85,Caminhada,13,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L34,L13,Rockefeller Center,L34,Central Park — South / The Pond,0.94,Caminhada,14,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L35,L13,Rockefeller Center,L35,Apple Fifth Avenue,0.74,Caminhada,11,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L36,L13,Rockefeller Center,L36,SoHo — Prince & Broadway,4.17,Metrô/ônibus + caminhada,22,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L37,L13,Rockefeller Center,L37,Pearl River Mart,4.44,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L38,L13,Rockefeller Center,L38,Intrepid Museum,1.86,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L39,L13,Rockefeller Center,L39,Hudson River Greenway — Midtown,2.32,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L40,L13,Rockefeller Center,L40,Hudson Yards,2.10,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L41,L13,Rockefeller Center,L41,The Oculus,5.93,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L42,L13,Rockefeller Center,L42,9/11 Memorial & Museum,6.01,Metrô + caminhada,32,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L43,L13,Rockefeller Center,L43,Wall Street / NYSE,6.39,Metrô + caminhada,33,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L44,L13,Rockefeller Center,L44,Trinity Church,6.31,Metrô + caminhada,33,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L13-L45,L13,Rockefeller Center,L45,Bathhouse Flatiron,2.31,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L33,L14,St. Patrick's Cathedral,L33,Chrysler Building,0.78,Caminhada,12,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L34,L14,St. Patrick's Cathedral,L34,Central Park — South / The Pond,0.90,Caminhada,13,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L35,L14,St. Patrick's Cathedral,L35,Apple Fifth Avenue,0.65,Caminhada,10,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L36,L14,St. Patrick's Cathedral,L36,SoHo — Prince & Broadway,4.23,Metrô/ônibus + caminhada,22,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L37,L14,St. Patrick's Cathedral,L37,Pearl River Mart,4.51,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L38,L14,St. Patrick's Cathedral,L38,Intrepid Museum,2.07,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L39,L14,St. Patrick's Cathedral,L39,Hudson River Greenway — Midtown,2.52,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L40,L14,St. Patrick's Cathedral,L40,Hudson Yards,2.29,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L41,L14,St. Patrick's Cathedral,L41,The Oculus,6.01,Metrô + caminhada,32,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L42,L14,St. Patrick's Cathedral,L42,9/11 Memorial & Museum,6.09,Metrô + caminhada,32,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L43,L14,St. Patrick's Cathedral,L43,Wall Street / NYSE,6.46,Metrô + caminhada,33,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L44,L14,St. Patrick's Cathedral,L44,Trinity Church,6.38,Metrô + caminhada,33,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L14-L45,L14,St. Patrick's Cathedral,L45,Bathhouse Flatiron,2.38,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L33,L15,Bryant Park,L33,Chrysler Building,0.72,Caminhada,11,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L34,L15,Bryant Park,L34,Central Park — South / The Pond,1.63,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L35,L15,Bryant Park,L35,Apple Fifth Avenue,1.43,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L36,L15,Bryant Park,L36,SoHo — Prince & Broadway,3.50,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L37,L15,Bryant Park,L37,Pearl River Mart,3.77,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L38,L15,Bryant Park,L38,Intrepid Museum,1.81,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L39,L15,Bryant Park,L39,Hudson River Greenway — Midtown,1.90,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L40,L15,Bryant Park,L40,Hudson Yards,1.62,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L41,L15,Bryant Park,L41,The Oculus,5.25,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L42,L15,Bryant Park,L42,9/11 Memorial & Museum,5.32,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L43,L15,Bryant Park,L43,Wall Street / NYSE,5.71,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L44,L15,Bryant Park,L44,Trinity Church,5.62,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L15-L45,L15,Bryant Park,L45,Bathhouse Flatiron,1.63,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L33,L16,NYPL — Schwarzman Building,L33,Chrysler Building,0.60,Caminhada,9,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L34,L16,NYPL — Schwarzman Building,L34,Central Park — South / The Pond,1.63,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L35,L16,NYPL — Schwarzman Building,L35,Apple Fifth Avenue,1.41,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L36,L16,NYPL — Schwarzman Building,L36,SoHo — Prince & Broadway,3.48,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L37,L16,NYPL — Schwarzman Building,L37,Pearl River Mart,3.75,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L38,L16,NYPL — Schwarzman Building,L38,Intrepid Museum,1.93,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L39,L16,NYPL — Schwarzman Building,L39,Hudson River Greenway — Midtown,2.02,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L40,L16,NYPL — Schwarzman Building,L40,Hudson Yards,1.73,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L41,L16,NYPL — Schwarzman Building,L41,The Oculus,5.24,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L42,L16,NYPL — Schwarzman Building,L42,9/11 Memorial & Museum,5.32,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L43,L16,NYPL — Schwarzman Building,L43,Wall Street / NYSE,5.70,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L44,L16,NYPL — Schwarzman Building,L44,Trinity Church,5.62,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L16-L45,L16,NYPL — Schwarzman Building,L45,Bathhouse Flatiron,1.62,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L33,L17,Grand Central Terminal,L33,Chrysler Building,0.19,Caminhada,4,10,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L34,L17,Grand Central Terminal,L34,Central Park — South / The Pond,1.54,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L35,L17,Grand Central Terminal,L35,Apple Fifth Avenue,1.28,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L36,L17,Grand Central Terminal,L36,SoHo — Prince & Broadway,3.62,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L37,L17,Grand Central Terminal,L37,Pearl River Mart,3.90,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L38,L17,Grand Central Terminal,L38,Intrepid Museum,2.30,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L39,L17,Grand Central Terminal,L39,Hudson River Greenway — Midtown,2.45,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L40,L17,Grand Central Terminal,L40,Hudson Yards,2.16,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L41,L17,Grand Central Terminal,L41,The Oculus,5.42,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L42,L17,Grand Central Terminal,L42,9/11 Memorial & Museum,5.51,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L43,L17,Grand Central Terminal,L43,Wall Street / NYSE,5.86,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L44,L17,Grand Central Terminal,L44,Trinity Church,5.78,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L17-L45,L17,Grand Central Terminal,L45,Bathhouse Flatiron,1.80,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L33,L18,Tudor City Overpass,L33,Chrysler Building,0.51,Caminhada,8,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L34,L18,Tudor City Overpass,L34,Central Park — South / The Pond,1.96,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L35,L18,Tudor City Overpass,L35,Apple Fifth Avenue,1.66,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L36,L18,Tudor City Overpass,L36,SoHo — Prince & Broadway,3.59,Metrô/ônibus + caminhada,20,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L37,L18,Tudor City Overpass,L37,Pearl River Mart,3.88,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L38,L18,Tudor City Overpass,L38,Intrepid Museum,3.00,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L39,L18,Tudor City Overpass,L39,Hudson River Greenway — Midtown,3.08,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L40,L18,Tudor City Overpass,L40,Hudson Yards,2.77,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L41,L18,Tudor City Overpass,L41,The Oculus,5.41,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L42,L18,Tudor City Overpass,L42,9/11 Memorial & Museum,5.51,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L43,L18,Tudor City Overpass,L43,Wall Street / NYSE,5.81,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L44,L18,Tudor City Overpass,L44,Trinity Church,5.75,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L18-L45,L18,Tudor City Overpass,L45,Bathhouse Flatiron,1.94,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L33,L19,United Nations Headquarters,L33,Chrysler Building,0.71,Caminhada,11,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L34,L19,United Nations Headquarters,L34,Central Park — South / The Pond,1.95,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L35,L19,United Nations Headquarters,L35,Apple Fifth Avenue,1.65,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L36,L19,United Nations Headquarters,L36,SoHo — Prince & Broadway,3.80,Metrô/ônibus + caminhada,21,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L37,L19,United Nations Headquarters,L37,Pearl River Mart,4.09,Metrô/ônibus + caminhada,22,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L38,L19,United Nations Headquarters,L38,Intrepid Museum,3.17,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L39,L19,United Nations Headquarters,L39,Hudson River Greenway — Midtown,3.31,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L40,L19,United Nations Headquarters,L40,Hudson Yards,3.00,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L41,L19,United Nations Headquarters,L41,The Oculus,5.62,Metrô/ônibus + caminhada,26,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L42,L19,United Nations Headquarters,L42,9/11 Memorial & Museum,5.72,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L43,L19,United Nations Headquarters,L43,Wall Street / NYSE,6.01,Metrô + caminhada,32,45,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L44,L19,United Nations Headquarters,L44,Trinity Church,5.96,Metrô/ônibus + caminhada,27,35,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L19-L45,L19,United Nations Headquarters,L45,Bathhouse Flatiron,2.19,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L33,L20,Moynihan Train Hall,L33,Chrysler Building,1.67,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L34,L20,Moynihan Train Hall,L34,Central Park — South / The Pond,2.47,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L35,L20,Moynihan Train Hall,L35,Apple Fifth Avenue,2.34,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L36,L20,Moynihan Train Hall,L36,SoHo — Prince & Broadway,3.02,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L37,L20,Moynihan Train Hall,L37,Pearl River Mart,3.25,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L38,L20,Moynihan Train Hall,L38,Intrepid Museum,1.51,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L39,L20,Moynihan Train Hall,L39,Hudson River Greenway — Midtown,1.01,Caminhada,15,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L40,L20,Moynihan Train Hall,L40,Hudson Yards,0.68,Caminhada,11,15,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L41,L20,Moynihan Train Hall,L41,The Oculus,4.62,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L42,L20,Moynihan Train Hall,L42,9/11 Memorial & Museum,4.67,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L43,L20,Moynihan Train Hall,L43,Wall Street / NYSE,5.12,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L44,L20,Moynihan Train Hall,L44,Trinity Church,5.01,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L20-L45,L20,Moynihan Train Hall,L45,Bathhouse Flatiron,1.33,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L33,L21,Herald Square,L33,Chrysler Building,1.03,Caminhada,15,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L34,L21,Herald Square,L34,Central Park — South / The Pond,2.14,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L35,L21,Herald Square,L35,Apple Fifth Avenue,1.95,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L36,L21,Herald Square,L36,SoHo — Prince & Broadway,3.02,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L37,L21,Herald Square,L37,Pearl River Mart,3.28,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L38,L21,Herald Square,L38,Intrepid Museum,1.88,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L39,L21,Herald Square,L39,Hudson River Greenway — Midtown,1.66,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L40,L21,Herald Square,L40,Hudson Yards,1.33,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L41,L21,Herald Square,L41,The Oculus,4.75,Metrô/ônibus + caminhada,24,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L42,L21,Herald Square,L42,9/11 Memorial & Museum,4.82,Metrô/ônibus + caminhada,24,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L43,L21,Herald Square,L43,Wall Street / NYSE,5.22,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L44,L21,Herald Square,L44,Trinity Church,5.13,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L21-L45,L21,Herald Square,L45,Bathhouse Flatiron,1.17,Caminhada,17,25,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L33,L22,Empire State Building,L33,Chrysler Building,0.93,Caminhada,14,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L34,L22,Empire State Building,L34,Central Park — South / The Pond,2.24,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L35,L22,Empire State Building,L35,Apple Fifth Avenue,2.02,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L36,L22,Empire State Building,L36,SoHo — Prince & Broadway,2.88,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L37,L22,Empire State Building,L37,Pearl River Mart,3.15,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L38,L22,Empire State Building,L38,Intrepid Museum,2.14,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L39,L22,Empire State Building,L39,Hudson River Greenway — Midtown,1.89,Metrô/ônibus + caminhada,15,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L40,L22,Empire State Building,L40,Hudson Yards,1.56,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L41,L22,Empire State Building,L41,The Oculus,4.64,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L42,L22,Empire State Building,L42,9/11 Memorial & Museum,4.72,Metrô/ônibus + caminhada,24,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L43,L22,Empire State Building,L43,Wall Street / NYSE,5.10,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L44,L22,Empire State Building,L44,Trinity Church,5.02,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L22-L45,L22,Empire State Building,L45,Bathhouse Flatiron,1.02,Caminhada,15,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L33,L23,Madison Square Garden,L33,Chrysler Building,1.52,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L34,L23,Madison Square Garden,L34,Central Park — South / The Pond,2.43,Metrô/ônibus + caminhada,17,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L35,L23,Madison Square Garden,L35,Apple Fifth Avenue,2.28,Metrô/ônibus + caminhada,16,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L36,L23,Madison Square Garden,L36,SoHo — Prince & Broadway,2.95,Metrô/ônibus + caminhada,18,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L37,L23,Madison Square Garden,L37,Pearl River Mart,3.19,Metrô/ônibus + caminhada,19,25,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L38,L23,Madison Square Garden,L38,Intrepid Museum,1.64,Metrô/ônibus + caminhada,14,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L39,L23,Madison Square Garden,L39,Hudson River Greenway — Midtown,1.19,Caminhada,17,25,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L40,L23,Madison Square Garden,L40,Hudson Yards,0.86,Caminhada,13,20,Alta,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L41,L23,Madison Square Garden,L41,The Oculus,4.59,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L42,L23,Madison Square Garden,L42,9/11 Memorial & Museum,4.64,Metrô/ônibus + caminhada,23,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L43,L23,Madison Square Garden,L43,Wall Street / NYSE,5.08,Metrô/ônibus + caminhada,25,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L44,L23,Madison Square Garden,L44,Trinity Church,4.98,Metrô/ônibus + caminhada,24,30,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L23-L45,L23,Madison Square Garden,L45,Bathhouse Flatiron,1.21,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L24-L33,L24,Gerald Schoenfeld Theatre — Broadway,L33,Chrysler Building,1.26,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
L24-L34,L24,Gerald Schoenfeld Theatre — Broadway,L34,Central Park — South / The Pond,1.45,Metrô/ônibus + caminhada,13,20,Média,Estimativa estrutural adicionada para o plano original; validar no fechamento do roteiro.
